Sep 6 2014,Mississippi State,47,Alabama-Birmingham,34
Sep 6 2014,Missouri,49,Toledo,24
Sep 6 2014,Navy,31,Temple,24
Sep 6 2014,Nebraska,31,McNeese State,24
Sep 6 2014,Nevada-Las Vegas,13,Northern Colorado,12
Sep 6 2014,New Mexico State,34,Georgia State,31
Sep 6 2014,North Carolina,31,San Diego State,27
Sep 6 2014,North Carolina State,46,Old Dominion,34
Sep 6 2014,North Texas,43,Southern Methodist,6
Sep 6 2014,Northern Illinois,23,Northwestern,15
Sep 6 2014,Notre Dame,31,Michigan,0
Sep 6 2014,Oklahoma,52,Tulsa,7
Sep 6 2014,Oklahoma State,40,Missouri State,23
Sep 6 2014,Oregon,46,Michigan State,27
Sep 6 2014,Oregon State,38,Hawaii,30
Sep 6 2014,Penn State,21,Akron,3
Sep 6 2014,Rutgers,38,Howard,25
Sep 6 2014,South Alabama,23,Kent State,13
Sep 6 2014,South Carolina,33,East Carolina,23
Sep 6 2014,Southern California,13,Stanford,10
Sep 6 2014,Southern Mississippi,26,Alcorn State,20
Sep 6 2014,Tennessee,34,Arkansas State,19
Sep 6 2014,Texas A&M,73,Lamar,3
Sep 6 2014,Texas Tech,30,Texas-El Paso,26
Sep 6 2014,UCLA,42,Memphis,35
Sep 6 2014,Utah,59,Fresno State,27
Sep 6 2014,Utah State,40,Idaho State,20
Sep 6 2014,Virginia,45,Richmond,13
Sep 6 2014,Virginia Tech,35,Ohio State,21
Sep 6 2014,Wake Forest,23,Gardner-Webb,7
Sep 6 2014,Washington,59,Eastern Washington,52
Sep 6 2014,West Virginia,54,Towson,0
Sep 6 2014,Wisconsin,37,Western Illinois,3
Sep 6 2014,Wyoming,17,Air Force,13
Sep 11 2014,Brigham Young,33,Houston,25
Sep 11 2014,Louisiana Tech,42,North Texas,21
Sep 12 2014,Baylor,63,Buffalo,21
Sep 12 2014,Cincinnati,58,Toledo,34
Sep 13 2014,Abilene Christian,38,Troy,35
Sep 13 2014,Air Force,48,Georgia State,38
Sep 13 2014,Alabama,52,Southern Mississippi,12
Sep 13 2014,Alabama-Birmingham,41,Alabama A&M,14
Sep 13 2014,Arizona,35,Nevada,28
Sep 13 2014,Arizona State,38,Colorado,24
Sep 13 2014,Arkansas,49,Texas Tech,28
Sep 13 2014,Boise State,38,Connecticut,21
Sep 13 2014,Boston College,37,Southern California,31
Sep 13 2014,Bowling Green State,45,Indiana,42
Sep 13 2014,Colorado State,49,California-Davis,21
Sep 13 2014,Duke,41,Kansas,3
Sep 13 2014,East Carolina,28,Virginia Tech,21
Sep 13 2014,Florida,36,Kentucky,30
Sep 13 2014,Florida Atlantic,50,Tulsa,21
Sep 13 2014,Georgia Tech,42,Georgia Southern,38
Sep 13 2014,Hawaii,27,Northern Iowa,24
Sep 13 2014,Indiana State,27,Ball State,20
Sep 13 2014,Iowa State,20,Iowa,17
Sep 13 2014,Louisiana State,31,Louisiana-Monroe,0
Sep 13 2014,Marshall,44,Ohio,14
Sep 13 2014,Miami (FL),41,Arkansas State,20
Sep 13 2014,Michigan,34,Miami (OH),10
Sep 13 2014,Middle Tennessee State,50,Western Kentucky,47
Sep 13 2014,Mississippi,56,Louisiana-Lafayette,15
Sep 13 2014,Mississippi State,35,South Alabama,3
Sep 13 2014,Missouri,38,Central Florida,10
Sep 13 2014,Navy,35,Texas State,21
Sep 13 2014,Nebraska,55,Fresno State,19
Sep 13 2014,North Carolina State,49,South Florida,17
Sep 13 2014,Northern Illinois,48,Nevada-Las Vegas,34
Sep 13 2014,Notre Dame,30,Purdue,14
Sep 13 2014,Ohio State,66,Kent State,0
Sep 13 2014,Oklahoma,34,Tennessee,10
Sep 13 2014,Oklahoma State,43,Texas-San Antonio,13
Sep 13 2014,Old Dominion,17,Eastern Michigan,3
Sep 13 2014,Oregon,48,Wyoming,14
Sep 13 2014,Penn State,13,Rutgers,10
Sep 13 2014,Pittsburgh,42,Florida International,25
Sep 13 2014,South Carolina,38,Georgia,35
Sep 13 2014,Stanford,35,Army,0
Sep 13 2014,Syracuse,40,Central Michigan,3
Sep 13 2014,Texas A&M,38,Rice,10
Sep 13 2014,Texas Christian,30,Minnesota,7
Sep 13 2014,Texas-El Paso,42,New Mexico State,24
Sep 13 2014,Tulane,35,Southeastern Louisiana,20
Sep 13 2014,UCLA,20,Texas,17
Sep 13 2014,Utah State,36,Wake Forest,24
Sep 13 2014,Vanderbilt,34,Massachusetts,31
Sep 13 2014,Virginia,23,Louisville,21
Sep 13 2014,Washington,44,Illinois,19
Sep 13 2014,Washington State,59,Portland State,21
Sep 13 2014,West Virginia,40,Maryland,37
Sep 13 2014,Western Michigan,45,Idaho,33
Sep 18 2014,Auburn,20,Kansas State,14
Sep 19 2014,South Florida,17,Connecticut,14
Sep 20 2014,Alabama,42,Florida,21
Sep 20 2014,Arizona,49,California,45
Sep 20 2014,Arkansas,52,Northern Illinois,14
Sep 20 2014,Arkansas State,21,Utah State,14
Sep 20 2014,Boise State,34,Louisiana-Lafayette,9
Sep 20 2014,Boston College,40,Maine,10
Sep 20 2014,Brigham Young,41,Virginia,33
Sep 20 2014,Buffalo,36,Norfolk State,7
Sep 20 2014,Central Florida,41,Bethune-Cookman,7
Sep 20 2014,Cincinnati,31,Miami (OH),24
Sep 20 2014,Colorado,21,Hawaii,12
Sep 20 2014,Duke,47,Tulane,13
Sep 20 2014,East Carolina,70,North Carolina,41
Sep 20 2014,Florida State,23,Clemson,17
Sep 20 2014,Fresno State,56,Southern Utah,16
Sep 20 2014,Georgia,66,Troy,0
Sep 20 2014,Georgia Southern,28,South Alabama,6
Sep 20 2014,Georgia Tech,27,Virginia Tech,24
Sep 20 2014,Houston,47,Nevada-Las Vegas,14
Sep 20 2014,Illinois,42,Texas State,35
Sep 20 2014,Indiana,31,Missouri,27
Sep 20 2014,Iowa,24,Pittsburgh,20
Sep 20 2014,Kansas,24,Central Michigan,10
Sep 20 2014,Louisville,34,Florida International,3
Sep 20 2014,Marshall,48,Akron,17
Sep 20 2014,Maryland,34,Syracuse,20
Sep 20 2014,Memphis,36,Middle Tennessee State,17
Sep 20 2014,Michigan State,73,Eastern Michigan,14
Sep 20 2014,Minnesota,24,San Jose State,7
Sep 20 2014,Mississippi State,34,Louisiana State,29
Sep 20 2014,Nebraska,41,Miami (FL),31
Sep 20 2014,New Mexico,38,New Mexico State,35
Sep 20 2014,North Carolina State,42,Presbyterian,0
Sep 20 2014,North Texas,77,Nicholls State,3
Sep 20 2014,Northwestern,24,Western Illinois,7
Sep 20 2014,Northwestern State,30,Louisiana Tech,27
Sep 20 2014,Ohio,36,Idaho,24
Sep 20 2014,Oklahoma,45,West Virginia,33
Sep 20 2014,Old Dominion,45,Rice,42
Sep 20 2014,Oregon,38,Washington State,31
Sep 20 2014,Oregon State,28,San Diego State,7
Sep 20 2014,Penn State,48,Massachusetts,7
Sep 20 2014,Purdue,35,Southern Illinois,13
Sep 20 2014,Rutgers,31,Navy,24
Sep 20 2014,South Carolina,48,Vanderbilt,34
Sep 20 2014,Southern Mississippi,21,Appalachian State,20
Sep 20 2014,Temple,59,Delaware State,0
Sep 20 2014,Texas A&M,58,Southern Methodist,6
Sep 20 2014,Toledo,34,Ball State,23
Sep 20 2014,Utah,26,Michigan,10
Sep 20 2014,Wake Forest,24,Army,21
Sep 20 2014,Washington,45,Georgia State,14
Sep 20 2014,Western Michigan,45,Murray State,14
Sep 20 2014,Wisconsin,68,Bowling Green State,17
Sep 20 2014,Wyoming,20,Florida Atlantic,19
Sep 25 2014,Georgia Southern,34,Appalachian State,14
Sep 25 2014,Oklahoma State,45,Texas Tech,35
Sep 25 2014,UCLA,62,Arizona State,27
Sep 26 2014,Fresno State,35,New Mexico,24
Sep 26 2014,Middle Tennessee State,41,Old Dominion,28
Sep 27 2014,Air Force,28,Boise State,14
Sep 27 2014,Akron,21,Pittsburgh,10
Sep 27 2014,Auburn,45,Louisiana Tech,17
Sep 27 2014,Baylor,49,Iowa State,28
Sep 27 2014,Bowling Green State,47,Massachusetts,42
Sep 27 2014,Buffalo,35,Miami (OH),27
Sep 27 2014,California,59,Colorado,56
Sep 27 2014,Clemson,50,North Carolina,35
Sep 27 2014,Colorado State,24,Boston College,21
Sep 27 2014,Florida Atlantic,41,Texas-San Antonio,37
Sep 27 2014,Florida International,34,Alabama-Birmingham,20
Sep 27 2014,Florida State,56,North Carolina State,41
Sep 27 2014,Georgia,35,Tennessee,32
Sep 27 2014,Iowa,24,Purdue,10
Sep 27 2014,Kansas State,58,Texas-El Paso,28
Sep 27 2014,Kentucky,17,Vanderbilt,7
Sep 27 2014,Louisiana State,63,New Mexico State,7
Sep 27 2014,Louisiana-Monroe,22,Troy,20
Sep 27 2014,Louisville,20,Wake Forest,10
Sep 27 2014,Maryland,37,Indiana,15
Sep 27 2014,Miami (FL),22,Duke,10
Sep 27 2014,Michigan State,56,Wyoming,14
Sep 27 2014,Minnesota,30,Michigan,14
Sep 27 2014,Mississippi,24,Memphis,3
Sep 27 2014,Missouri,21,South Carolina,20
Sep 27 2014,Nebraska,45,Illinois,14
Sep 27 2014,Nevada,21,San Jose State,10
Sep 27 2014,Northwestern,29,Penn State,6
Sep 27 2014,Notre Dame,31,Syracuse,15
Sep 27 2014,Ohio,34,Eastern Illinois,19
